Frame,CS6_B5_nnv_ROI1,CS6_B5_nnv_ROI2,CS6_B5_nnv_ROI3,CS6_B5_nnv_ROI4,CS6_B5_nnv_ROI5,CS6_B5_nnv_ROI6,CS6_B5_nnv_ROI7,CS6_B5_nnv_ROI8,CS6_B5_nnv_ROI9,CS6_B5_nnv_ROI10,CS6_B5_nnv_ROI11,CS6_B5_nnv_ROI12,CS6_B5_nnv_ROI13,CS6_B5_nnv_ROI14,CS6_B5_nnv_ROI15,CS6_B5_nnv_ROI16,CS6_B5_nnv_ROI17,CS6_B5_nnv_ROI18,CS6_B5_nnv_ROI19,CS6_B5_nnv_ROI20,CS6_B5_nnv_ROI21,CS6_B5_nnv_ROI22,CS6_B5_nnv_ROI23,CS6_B5_nnv_ROI24,CS6_B5_nnv_ROI25,CS6_B5_nnv_ROI26,CS6_B5_nnv_ROI27,CS6_B5_nnv_ROI28,CS6_B5_nnv_ROI29,CS6_B5_nnv_ROI30,CS6_B5_nnv_ROI31,CS6_B5_nnv_ROI32,CS6_B5_nnv_ROI33,CS6_B5_nnv_ROI34,CS6_B5_nnv_ROI35,CS6_B5_nnv_ROI36,CS6_B5_nnv_ROI37,CS6_B5_nnv_ROI38,CS6_B5_nnv_ROI39,CS6_B5_nnv_ROI40,CS6_B5_nnv_ROI41,CS6_B5_nnv_ROI42,CS6_B5_nnv_ROI43,CS6_B5_nnv_ROI44,CS6_B5_nnv_ROI45,CS6_B5_nnv_ROI46,CS6_B5_nnv_ROI47,CS6_B5_nnv_ROI48,CS6_B5_nnv_ROI49,CS6_B5_nnv_ROI50,CS6_B5_nnv_ROI51,CS6_B5_nnv_ROI52,CS6_B5_nnv_ROI53,CS6_B5_nnv_ROI54,CS6_B5_nnv_ROI55,CS6_B5_nnv_ROI56,CS6_B5_nnv_ROI57,CS6_B5_nnv_ROI58,CS6_B5_nnv_ROI59,CS6_B5_nnv_ROI60,CS6_B5_nnv_ROI61,CS6_B5_nnv_ROI62,CS6_B5_nnv_ROI63,CS6_B5_nnv_ROI64,CS6_B5_nnv_ROI65,CS6_B5_nnv_ROI66,CS6_B5_nnv_ROI67,CS6_B5_nnv_ROI68,CS6_B5_nnv_ROI69,CS6_B5_nnv_ROI70,CS6_B5_nnv_ROI71,CS6_B5_nnv_ROI72
1,41.25,189.471,251.95,143.091,182.25,162.583,229.536,169.929,215.833,74.5,75.559,31.727,243.559,62.129,48.8,240.818,223.613,61.833,170.097,255,227.792,242.357,235.839,255,236.75,253.5,247.118,255,221,91.875,154.727,221.479,255,172.188,169.857,235,249.636,193.875,34.277,20.276,234.129,43.857,192,240.875,166.5,170.625,240.625,233.375,172.812,170.778,65.286,78.23,43.115,255,237.469,157.114,36.625,175.656,99.703,30.769,121.333,191.068,143.25,26.043,48.9,171.031,13.866,69.65,146.885,73.69,135.062,91.161
2,44.583,185.647,248.05,137.091,187.25,158.875,231.786,169.429,217.292,78,72.029,30.818,242.559,62.29,47.4,246,219.742,60.25,168.387,255,227.583,239.214,238.129,255,236.1,253.375,245.059,247,224.5,102.625,141.727,224.542,255,171.562,165.5,238.545,246.455,190.75,36.957,20.138,234.742,49.964,196.643,241,178.2,171.156,232.5,235.375,176.938,168.333,60.167,78.393,43.692,254.8,236.156,154.727,36.708,178.75,99.946,27.654,122.833,193.386,139.938,22.87,52.4,171.109,12.159,63.85,145.923,74.214,140.688,91.768
3,41.833,191.941,248.45,139.636,181.375,156.208,228.357,167.786,210.458,70.7,68.706,33.818,243.294,60.419,61.8,240.273,222.29,58.167,167.387,255,229.167,245.786,237.097,255,236.6,251.938,245.471,255,230.3,93.875,153.909,222.708,255,171.5,168.714,233.727,250.182,185.75,35.277,23.086,235.774,46.607,192.786,238.5,176.7,171.5,234.25,236.25,174.688,177.111,67.595,75.295,41.385,255,237.219,158.045,42.292,175.094,102,24.808,126.833,194.023,144.792,25.739,47.8,170.875,15.915,57.45,144.346,75.381,133.125,90.214
4,43.75,190.235,249.65,146.909,184.25,160.667,230.107,173.786,218.75,67.8,73.324,33.364,245.176,59.258,44.8,239.727,223.065,57.667,174.129,255,230.875,241.857,237.323,255,236.9,253.312,246.706,255,229.1,105,156.364,223.917,255,165.5,170.5,234.182,249.636,186.25,35.085,22.241,236.871,50.071,191.643,244.875,174.3,170.812,231.75,234.5,165.875,179,63.738,78.279,48.462,255,237.375,158.455,36.458,174.75,96.865,30.615,131,193.386,147.438,24.087,49.9,171.781,12.293,57.45,144.462,74.071,132.25,92.357
5,47.417,189.706,248.55,143.909,191.375,160.625,228.393,173.286,217.625,71.35,73.853,31.182,242.147,65.742,64.4,242.909,221.065,69.667,170.129,255,232.167,241.786,237.548,255,236.7,254.5,245.706,253.25,227.1,102,152,221.604,255,167.562,169,233.545,245.182,191.375,35.532,23.69,235.935,45,192.857,234.875,177.1,174.688,233.25,238.375,168.75,173.889,64.738,77.393,41.308,255,236,156.864,43.125,171.781,99.351,28.038,132.5,194.659,145.75,22.913,46.55,171.422,11.122,60.8,145,71.845,133.375,94.482
6,52.917,190.706,248.8,145.455,189.25,155.083,234.571,168.286,218.792,67.55,74.353,28.636,241,58.968,47,241.909,224.323,62.083,173.613,255,228.833,243.429,238.161,255,235.95,252.5,245.294,255,224.1,96.875,153.091,222.5,255,164.125,170.571,231.364,248.182,187.5,34.213,21.034,234.774,43.536,195.571,237.375,171.9,170,234.375,233.375,179.812,179.333,62.095,76.689,45.462,254.05,235.156,158.136,35.917,178.062,95.865,26.462,124,193.727,141.583,22.696,50.3,169.891,14,60.6,147.846,73.893,133.812,91.554
7,47.333,187.706,246.4,141,185.875,158.917,227.75,172.5,215.208,77.4,73.118,27.727,243.206,64.323,60.4,240.727,221.323,62.583,170.935,255,230.625,240.643,236.645,255,235.55,252.438,243.118,255,224.2,101,148.727,220.312,255,170.312,169.786,232.636,248.364,191.625,34.511,22.31,238.387,43.607,193,238.625,169.4,171.688,240.25,236,180.5,169.333,59.333,78.607,47.846,255,234.688,155.727,38.542,172.656,99.162,27.731,125.167,194.773,141.625,24.522,45.2,169.812,13.939,62.75,150.5,72.988,134.938,94.339
8,45.25,188.118,247.8,142.273,180.875,157.25,232.25,169.286,214.042,73.3,74.382,39.455,243,57.29,51,242.636,222.226,66.083,168.968,255,227.208,241.857,235.645,255,237.8,252.125,245.647,255,220.6,100.625,149.727,220.979,255,170.812,167.571,232.636,244.364,190,37.787,18.793,234.484,44.821,191.929,244.125,176.4,170.625,234.625,238.25,169.5,169.444,63.357,76.951,42.923,255,235.562,158.341,39.667,173.688,100.162,28.538,117.5,194.727,140.396,22.739,45.65,173.016,10.5,66,144,74.5,136.188,95.339
9,32.417,184.059,246.55,139.182,190.5,154.292,232.286,167.214,216.292,72.9,73.412,33.091,240.176,59.806,47.2,245.091,223,59.833,171.032,255,233.208,241.071,235.194,255,236.95,254.062,247.412,255,222.7,96.375,151.818,222.271,255,170.5,169.571,239.455,247.455,197,36.766,23.121,241.484,46.393,191.357,243,177,169.375,235.375,233.875,179.438,171.111,63.286,77.656,46.769,255,235.562,157.795,35.042,177.906,99.784,29.654,123.833,192.227,140.896,23.913,49.25,172.531,12.854,62.05,145,74.619,139.312,95.911
10,40.583,193.882,249.3,142.636,188.875,157.542,232.571,168,217.917,75.15,77.235,34.727,244,62.419,56.2,243.091,225.097,59.667,170.258,255,228.875,241.071,236.129,255,237.9,251.688,247.441,255,226.4,98.625,143.182,221.417,255,166.812,170.643,231.636,247.273,186.625,36.021,22.724,236.419,49.75,194.071,241.5,176.9,171.656,236.875,235.375,182.25,176.889,66.833,78.377,45.269,253.95,235.906,159.886,37.292,181.062,97.378,28.654,125,193.273,136.938,21.652,49,171.781,12.39,58.7,146.962,72.5,134.062,91.625
